Code,Name,Func,Rare
201,탱탱볼,총알이 벽에 닿을시 튕기는 탄성을 얻고 사거리가 증가 합니다,2
202,B.F.bullet,총알이 거대해집니다.,2
203,버서커,최대 체력 에 비례하여 현재 체력이 적을수록 데미지가 증가합니다.,2
204,로케이터,데미지가 증가하나 총알이 거리에 비례하여 데미지가 낮아집니다.,2
205,퍼스트 블러드,장전 후 첫 총알이 강력해집니다.,2
206,과열,공격을 유지 할수록 공격 속도가 증가 합니다.,2
207,하이리스크 하이리턴,"주는 피해, 받는 피해가 2배가 됩니다.",2
208,회피의 달인,피해를 입지않은 시간이 길어질수록 강해집니다.,2
209,재정비,구르기시 재장전을 수행 합니다.,2
210,발악,목숨이 1개 증가 하며 부활 했을때 피가 1이 되며 일시적으로 강해집니다.,2
211,도마뱀 피부,피해를 받았을때 운이 좋다면 데미지에 비례하여 체력을 회복합니다.,2
212,강자멸시,현재 스테이지에 비례하여 공격력이 증가합니다.,2
213,생존자,플레이어가 자신 혼자 남았을 때 모든 능력치가 증가합니다.,2
214,기회 비용,스킬을 사용 할 수 없게 되지만 데미지가 대폭 증가합니다.,2
215,화염,총알이 화상 상태를 주는 지형을 만듭니다.,2
216,얼음,총알이 상대를 가끔 얼음 상태로 만듭니다.,2
217,승리의 깃발,구르기 후 주변 플레이어의 공격 속도/이동 속도를 증가 시키는 깃발을 일정 시간 생성 합니다.,2
218,과질량 장치,총알 적중시 일정 확률로 적을 끌어들이는 장판을 생성합니다.,2
219,고장내기. Mk2,총이 가끔 한발 더 발사 합니다.,2
220,가끔 날카로운 송곳니,적 타격시 일정 확률로 체력을 회복합니다.,2
221,차징,공격 방식을 차징 형태로 변환 시킵니다.,2
222,숨고르기,구르기 사용후 체력을 회복 합니다.,2
223,현명한 처세,스킬의 최대 스택이 증가 합니다.,2
